days,sample number,design,predated,location,date,temperature,slug,weather
4,142,1,1,2,14/02/2024,9,0,1
4,143,1,1,2,14/02/2024,9,0,1
4,144,1,1,2,14/02/2024,9,0,1
4,145,1,1,2,14/02/2024,9,0,1
4,146,1,1,2,14/02/2024,9,0,1
4,147,1,1,2,14/02/2024,9,0,1
4,148,1,1,2,14/02/2024,9,0,1
4,149,1,0,2,14/02/2024,9,0,1
4,150,1,0,2,14/02/2024,9,0,1
4,151,1,0,2,14/02/2024,9,0,1
4,152,1,0,2,14/02/2024,9,0,1
4,153,1,0,2,14/02/2024,9,0,1
4,154,1,0,2,14/02/2024,9,0,1
4,155,1,0,2,14/02/2024,9,0,1
4,156,1,0,2,14/02/2024,9,0,1
4,157,1,0,2,14/02/2024,9,0,1
4,158,1,0,2,14/02/2024,9,0,1
4,159,1,0,2,14/02/2024,9,0,1
4,160,1,0,2,14/02/2024,9,0,1
4,161,2,1,2,14/02/2024,9,0,1
4,162,2,1,2,14/02/2024,9,0,1
4,163,2,1,2,14/02/2024,9,0,1
4,164,2,1,2,14/02/2024,9,0,1
4,165,2,1,2,14/02/2024,9,0,1
4,166,2,1,2,14/02/2024,9,0,1
4,167,2,1,2,14/02/2024,9,0,1
4,168,2,1,2,14/02/2024,9,0,1
4,169,2,1,2,14/02/2024,9,0,1
4,170,2,1,2,14/02/2024,9,0,1
4,171,2,1,2,14/02/2024,9,0,1
4,172,2,1,2,14/02/2024,9,0,1
4,173,2,1,2,14/02/2024,9,0,1
4,174,2,1,2,14/02/2024,9,0,1
4,175,2,1,2,14/02/2024,9,0,1
4,176,2,1,2,14/02/2024,9,0,1
4,177,2,0,2,14/02/2024,9,0,1
4,178,2,0,2,14/02/2024,9,0,1
4,179,2,0,2,14/02/2024,9,0,1
4,180,2,0,2,14/02/2024,9,0,1
4,181,2,0,2,14/02/2024,9,0,1
4,182,2,0,2,14/02/2024,9,0,1
4,183,2,0,2,14/02/2024,9,0,1
4,184,2,0,2,14/02/2024,9,0,1
4,185,2,0,2,14/02/2024,9,0,1
4,186,2,0,2,14/02/2024,9,0,1
4,187,2,0,2,14/02/2024,9,0,1
4,188,2,0,2,14/02/2024,9,0,1
4,189,2,0,2,14/02/2024,9,0,1
4,190,2,0,2,14/02/2024,9,0,1
4,191,2,0,2,14/02/2024,9,0,1
4,192,2,0,2,14/02/2024,9,0,1
4,193,2,0,2,14/02/2024,9,0,1
4,194,2,0,2,14/02/2024,9,0,1
4,195,2,0,2,14/02/2024,9,0,1
4,196,2,0,2,14/02/2024,9,0,1
4,197,2,0,2,14/02/2024,9,0,1
4,198,2,0,2,14/02/2024,9,0,1
4,199,2,0,2,14/02/2024,9,0,1
4,201,3,1,2,14/02/2024,9,0,1
4,202,3,1,2,14/02/2024,9,0,1
4,203,3,1,2,14/02/2024,9,0,1
4,204,3,1,2,14/02/2024,9,0,1
4,205,3,1,2,14/02/2024,9,0,1
4,206,3,1,2,14/02/2024,9,0,1
4,207,3,1,2,14/02/2024,9,0,1
4,208,3,1,2,14/02/2024,9,0,1
4,209,3,1,2,14/02/2024,9,0,1
4,210,3,1,2,14/02/2024,9,0,1
4,211,3,1,2,14/02/2024,9,0,1
4,212,3,1,2,14/02/2024,9,0,1
4,213,3,1,2,14/02/2024,9,0,1
4,214,3,1,2,14/02/2024,9,0,1
4,215,3,1,2,14/02/2024,9,0,1
4,216,3,1,2,14/02/2024,9,0,1
4,217,3,1,2,14/02/2024,9,0,1
4,218,3,1,2,14/02/2024,9,0,1
4,219,3,1,2,14/02/2024,9,0,1
4,220,3,0,2,14/02/2024,9,0,1
4,221,3,0,2,14/02/2024,9,0,1
4,222,3,0,2,14/02/2024,9,0,1
4,223,3,0,2,14/02/2024,9,0,1
4,224,3,0,2,14/02/2024,9,0,1
4,225,3,0,2,14/02/2024,9,0,1
4,226,3,0,2,14/02/2024,9,0,1
4,227,3,0,2,14/02/2024,9,0,1
4,228,3,0,2,14/02/2024,9,0,1
4,229,3,0,2,14/02/2024,9,0,1
4,230,3,0,2,14/02/2024,9,0,1
4,231,3,0,2,14/02/2024,9,0,1
4,232,3,0,2,14/02/2024,9,0,1
4,233,3,0,2,14/02/2024,9,0,1
4,234,3,0,2,14/02/2024,9,0,1
4,235,3,0,2,14/02/2024,9,0,1
4,236,3,0,2,14/02/2024,9,0,1
4,237,3,0,2,14/02/2024,9,0,1
4,238,3,0,2,14/02/2024,9,0,1
4,239,3,0,2,14/02/2024,9,0,1
6,241,1,1,1,16/02/2024,13,0,2
6,242,1,1,1,16/02/2024,13,0,2
6,243,1,1,1,16/02/2024,13,0,2
6,244,1,1,1,16/02/2024,13,0,2
6,245,1,1,1,16/02/2024,13,0,2
6,246,1,1,1,16/02/2024,13,0,2
6,247,1,1,1,16/02/2024,13,0,2
6,248,1,1,1,16/02/2024,13,0,2
6,249,1,1,1,16/02/2024,13,0,2
6,250,1,1,1,16/02/2024,13,0,2
6,251,1,1,1,16/02/2024,13,0,2
6,252,1,1,1,16/02/2024,13,0,2
6,253,1,1,1,16/02/2024,13,0,2
6,254,1,1,1,16/02/2024,13,0,2
6,255,1,1,1,16/02/2024,13,0,2
6,256,1,1,1,16/02/2024,13,0,2
6,257,1,1,1,16/02/2024,13,0,2
6,258,1,1,1,16/02/2024,13,0,2
6,259,1,1,1,16/02/2024,13,0,2
6,260,1,1,1,16/02/2024,13,0,2
6,261,1,1,1,16/02/2024,13,0,2
6,262,1,1,1,16/02/2024,13,0,2
6,263,1,1,1,16/02/2024,13,0,2
6,264,1,1,1,16/02/2024,13,0,2
6,265,1,1,1,16/02/2024,13,0,2
6,266,1,1,1,16/02/2024,13,0,2
6,267,1,1,1,16/02/2024,13,0,2
6,268,1,1,1,16/02/2024,13,0,2
6,269,1,1,1,16/02/2024,13,0,2
6,270,1,1,1,16/02/2024,13,0,2
6,271,1,1,1,16/02/2024,13,0,2
6,272,1,1,1,16/02/2024,13,0,2
6,273,1,1,1,16/02/2024,13,0,2
6,274,1,1,1,16/02/2024,13,0,2
6,275,1,0,1,16/02/2024,13,0,2
6,276,1,0,1,16/02/2024,13,0,2
6,277,1,0,1,16/02/2024,13,0,2
6,278,1,0,1,16/02/2024,13,0,2
6,279,1,0,1,16/02/2024,13,0,2
6,280,1,0,1,16/02/2024,13,0,2
6,281,2,1,1,16/02/2024,13,0,2
6,282,2,1,1,16/02/2024,13,0,2
6,283,2,1,1,16/02/2024,13,0,2
6,284,2,1,1,16/02/2024,13,0,2
6,285,2,1,1,16/02/2024,13,0,2
6,286,2,1,1,16/02/2024,13,0,2
6,287,2,1,1,16/02/2024,13,0,2
6,288,2,1,1,16/02/2024,13,0,2
6,289,2,1,1,16/02/2024,13,0,2
6,290,2,1,1,16/02/2024,13,0,2
6,291,2,1,1,16/02/2024,13,0,2
6,292,2,1,1,16/02/2024,13,0,2
6,293,2,1,1,16/02/2024,13,0,2
6,294,2,1,1,16/02/2024,13,0,2
6,295,2,1,1,16/02/2024,13,0,2
6,296,2,1,1,16/02/2024,13,0,2
6,297,2,0,1,16/02/2024,13,0,2
6,298,2,0,1,16/02/2024,13,0,2
6,299,2,0,1,16/02/2024,13,0,2
6,300,2,0,1,16/02/2024,13,0,2
6,301,2,0,1,16/02/2024,13,0,2
6,302,2,0,1,16/02/2024,13,0,2
6,303,2,0,1,16/02/2024,13,0,2
6,304,2,0,1,16/02/2024,13,0,2
6,305,2,0,1,16/02/2024,13,0,2
6,306,2,0,1,16/02/2024,13,0,2
6,307,2,0,1,16/02/2024,13,0,2
6,308,2,0,1,16/02/2024,13,0,2
6,309,2,0,1,16/02/2024,13,0,2
6,310,2,0,1,16/02/2024,13,0,2
6,311,2,0,1,16/02/2024,13,0,2
6,312,2,0,1,16/02/2024,13,0,2
6,313,2,0,1,16/02/2024,13,0,2
6,314,2,0,1,16/02/2024,13,0,2
6,315,2,0,1,16/02/2024,13,0,2
6,316,2,0,1,16/02/2024,13,0,2
6,317,2,0,1,16/02/2024,13,0,2
